,filename,hat,veil,glasses,accessory
0,AR_FDB_m-003-13.png,1,0,1,1
1,AR_FDB_m-051-13.png,1,0,1,1
2,AR_FDB_m-052-22.png,1,1,0,1
3,AR_FDB_m-053-3.png,1,1,1,0
4,AR_FDB_m-069-26.png,1,0,1,1
5,AR_FDB_w-002-24.png,1,1,1,0
6,FRGC_04320d102.jpg,1,1,1,0
7,FRGC_04382d54.jpg,0,1,1,1
8,FRGC_04626d64.jpg,1,1,1,0
9,FRGC_04790d02.jpg,0,1,1,1
10,AR_FDB_m-023-6.png,1,1,1,0
11,AR_FDB_m-067-2.png,1,1,1,0
12,AR_FDB_w-007-2_px_6.png,1,1,1,0
13,AR_FDB_w-008-18.png,1,1,1,0
14,AR_FDB_w-010-1.png,1,1,0,1
15,AR_FDB_w-015-21_px_4.png,1,1,0,1
16,FRGC_04320d80.jpg,1,1,1,0
17,FRGC_04324d79_px_6.png,1,1,1,0
18,FRGC_04341d187.jpg,1,1,1,0
19,FRGC_04397d432.jpg,1,1,1,0
20,FRGC_04400d326.jpg,1,1,1,0
21,FRGC_04449d58.JPG,0,1,1,1
22,FRGC_04577d315.jpg,1,1,1,0
23,FRGC_04593d143.jpg,1,1,1,0
24,AR_FDB_m-009-6.png,1,1,1,0
25,AR_FDB_m-017-8.png,1,1,0,1
26,AR_FDB_m-022-8.png,1,1,0,1
27,AR_FDB_m-065-7.png,1,1,1,0
28,AR_FDB_w-001-4.png,1,1,1,0
29,AR_FDB_w-015-26.png,1,1,1,0
30,FRGC_04282d39_px_4.png,1,1,1,0
31,FRGC_04306d30.jpg,1,1,1,0
32,FRGC_04334d62.jpg,1,1,1,0
33,FRGC_04432d28.JPG,0,1,1,1
34,FRGC_04516d00.JPG,0,1,1,1
35,FRGC_04531d339.jpg,1,1,1,0
36,FRGC_04531d370.jpg,1,1,1,0
37,FRGC_04551d66.JPG,0,1,1,1
38,FRGC_04551d70_px_8.png,0,1,1,1
39,FRGC_04615d106.jpg,1,1,1,0
40,FRGC_04708d112.jpg,1,1,1,0
41,AR_FDB_m-003-9.png,1,1,0,1
42,AR_FDB_m-025-26.png,1,0,1,1
43,AR_FDB_m-030-25.png,1,0,1,1
44,AR_FDB_m-063-10.png,1,1,0,1
45,AR_FDB_m-073-10_px_8.png,1,1,0,1
46,AR_FDB_m-075-21.png,1,1,0,1
47,AR_FDB_m-075-9_px_6.png,1,1,0,1
48,AR_FDB_w-002-23.png,1,0,1,1
49,FRGC_04219d196.jpg,1,1,1,0
50,FRGC_04239d108.jpg,1,1,1,0
51,FRGC_04327d351.jpg,1,1,1,0
52,FRGC_04419d184.jpg,0,1,1,1
53,FRGC_04522d82.jpg,1,1,1,0
54,FRGC_04549d17.jpg,1,1,1,0
55,FRGC_04600d262.jpg,1,1,1,0
56,FRGC_04603d239.jpg,1,1,1,0
57,FRGC_04626d210.jpg,1,1,1,0
58,FRGC_04629d165.jpg,1,1,1,0
59,FRGC_04856d81.jpg,1,1,1,0
60,AR_FDB_m-056-4.png,1,1,1,0
61,AR_FDB_m-075-10.png,1,1,0,1
62,AR_FDB_w-009-23.png,1,1,1,0
63,FRGC_04201d185.jpg,1,1,1,0
64,FRGC_04288d65.jpg,1,1,1,0
65,FRGC_04334d30.jpg,1,1,1,0
66,FRGC_04395d55.JPG,0,1,1,1
67,FRGC_04400d344.jpg,1,1,1,0
68,FRGC_04531d222.jpg,1,1,1,0
69,FRGC_04539d57.jpg,1,1,1,0
70,FRGC_04629d233.jpg,1,1,1,0
71,FRGC_04724d18.jpg,0,1,1,1
72,AR_FDB_m-052-8.png,1,1,0,1
73,FRGC_04203d152.jpg,1,1,1,0
74,FRGC_04932d30.jpg,1,1,1,0
75,AR_FDB_m-037-8.png,1,1,0,1
76,AR_FDB_m-055-21.png,1,1,0,1
77,AR_FDB_m-066-8.png,1,1,0,1
78,AR_FDB_m-074-8.png,1,1,0,1
79,AR_FDB_m-075-18_px_8.png,1,1,1,0
80,AR_FDB_w-015-22.png,1,0,1,1
81,FRGC_04211d190.jpg,1,1,1,0
82,FRGC_04217d198.jpg,1,1,1,0
83,FRGC_04261d64.jpg,1,1,1,0
84,FRGC_04319d15_px_8.png,1,1,1,0
85,FRGC_04341d45.jpg,1,1,1,0
86,FRGC_04394d323.jpg,1,1,1,0
87,FRGC_04527d76.jpg,1,1,1,0
88,FRGC_04551d58.JPG,0,1,1,1
89,FRGC_04553d99.jpg,1,1,1,0
90,FRGC_04585d37.jpg,1,1,1,0
91,FRGC_04593d118.jpg,1,1,1,0
92,FRGC_04595d53.jpg,1,1,1,0
93,AR_FDB_m-005-18.png,1,1,1,0
94,AR_FDB_m-017-23.png,1,1,0,1
95,AR_FDB_m-023-23.png,1,1,0,1
96,AR_FDB_m-034-8.png,1,1,1,0
97,AR_FDB_m-042-25.png,1,0,1,1
98,AR_FDB_m-070-18.png,1,1,1,0
99,AR_FDB_m-073-3.png,1,1,1,0
100,AR_FDB_w-002-13.png,1,1,1,0
101,AR_FDB_w-002-14.png,1,1,1,0
102,FRGC_04233d441_px_8.png,1,1,1,0
103,FRGC_04311d270.jpg,1,1,1,0
104,FRGC_04311d97.jpg,1,1,1,0
105,FRGC_04320d71.jpg,1,1,1,0
106,FRGC_04329d85.jpg,1,1,1,0
107,FRGC_04336d228.jpg,1,1,1,0
108,FRGC_04337d18.jpg,1,1,1,0
109,FRGC_04481d304.jpg,1,1,1,0
110,FRGC_04531d235.jpg,1,1,1,0
111,FRGC_04569d83_px_8.png,1,1,1,0
112,AR_FDB_m-006-7.png,1,1,1,0
113,AR_FDB_m-014-22.png,1,1,0,1
114,AR_FDB_m-026-14.png,1,1,1,0
115,AR_FDB_m-032-6.png,1,1,1,0
116,AR_FDB_m-042-2.png,1,1,1,0
117,AR_FDB_m-047-2.png,1,1,1,0
118,AR_FDB_m-059-9.png,1,1,0,1
119,AR_FDB_m-066-3.png,1,1,1,0
120,AR_FDB_m-067-15.png,1,1,1,0
121,AR_FDB_m-067-26.png,1,0,1,1
122,AR_FDB_w-003-10_px_4.png,1,1,0,1
123,FRGC_04309d44.jpg,1,1,1,0
124,FRGC_04444d226.jpg,0,1,1,1
125,FRGC_04556d228.jpg,1,1,1,0
126,FRGC_04558d17_px_4.png,1,1,1,0
127,FRGC_04569d114.jpg,1,1,1,0
128,FRGC_04595d51.jpg,1,1,1,0
129,AR_FDB_m-004-24.png,1,0,1,1
130,AR_FDB_m-017-17.png,1,1,1,0
131,AR_FDB_m-019-5.png,1,1,1,0
132,AR_FDB_m-033-22.png,1,1,0,1
133,AR_FDB_m-041-1.png,1,1,1,0
134,AR_FDB_w-005-23.png,1,0,1,1
135,AR_FDB_w-008-12.png,1,0,1,1
136,FRGC_04217d74_px_8.png,1,1,1,0
137,FRGC_04256d137.jpg,1,1,1,0
138,FRGC_04273d76.jpg,1,1,1,0
139,FRGC_04301d291.jpg,1,1,1,0
140,FRGC_04324d129.jpg,1,1,1,0
141,FRGC_04327d110.jpg,1,1,1,0
142,FRGC_04370d260_px_8.png,1,1,1,0
143,FRGC_04539d18.jpg,1,1,1,0
144,FRGC_04588d216.jpg,1,1,1,0
145,FRGC_04613d123.jpg,1,1,1,0
146,FRGC_04618d07.jpg,0,1,1,1
147,FRGC_04709d80.jpg,1,1,1,0
148,AR_FDB_m-007-1.png,1,1,1,0
149,AR_FDB_m-023-10.png,1,1,0,1
150,AR_FDB_m-028-1.png,1,1,1,0
151,AR_FDB_m-072-7_px_6.png,1,1,1,0
152,AR_FDB_w-016-21.png,1,1,0,1
153,AR_FDB_w-016-25.png,1,0,1,1
154,FRGC_04225d224.jpg,1,1,1,0
155,FRGC_04225d243.jpg,1,1,1,0
156,FRGC_04308d14_px_6.png,1,1,1,0
157,FRGC_04334d257.jpg,1,1,1,0
158,FRGC_04336d241.jpg,1,1,1,0
159,FRGC_04575d266.jpg,1,1,1,0
160,FRGC_04580d231_px_8.png,1,1,1,0
161,FRGC_04600d342.jpg,1,1,1,0
162,FRGC_04606d144.jpg,1,1,1,0
163,FRGC_04667d284.jpg,1,1,1,0
164,AR_FDB_m-058-26.png,1,0,1,1
165,AR_FDB_w-007-3.png,1,1,1,0
166,FRGC_04239d332.jpg,1,1,1,0
167,FRGC_04301d334.jpg,1,1,1,0
168,FRGC_04622d00.jpg,1,1,1,0
169,AR_FDB_m-001-20.png,1,1,1,0
170,AR_FDB_m-040-19.png,1,1,1,0
171,AR_FDB_m-044-4.png,1,1,1,0
172,AR_FDB_m-051-7.png,1,1,1,0
173,AR_FDB_w-005-24_px_4.png,1,0,1,1
174,AR_FDB_w-012-15.png,1,1,1,0
